AgreementID,MainTenantID,SubTenantIDs,PropertyID,HostID,OwnerID,Period,ContractDate,RentingFee,Status
RA001,TN001,TN002-TN003,RP001,HS001,ON001,Daily,2023/01/01,1500.0,Active
RA002,TN002,TN004-TN005,RP002,HS002,ON002,Monthly,2023/02/01,1800.0,Completed
RA003,TN003,TN006,CP001,HS003,ON003,Daily,2023/07/07,5000.0,Active
RA004,TN004,TN007-TN008,RP003,HS004,ON004,Daily,2023/04/01,2200.0,New
RA005,TN005,TN009,RP004,HS005,ON005,Monthly,2023/05/01,1300.0,Active
RA006,TN006,TN010-TN011,CP002,HS006,ON006,Monthly,2023/06/01,7000.0,Active
RA007,TN007,TN012,RP005,HS007,ON007,Daily,2023/07/01,1600.0,Completed
RA008,TN008,TN013,RP006,HS008,ON008,Monthly,2023/08/01,1900.0,New
RA009,TN009,TN014,CP003,HS009,ON009,Daily,2023/09/01,6000.0,Active
RA010,TN010,TN005-TN006,RP007,HS010,ON010,Daily,2023/10/01,2500.0,Completed
RA011,TN011,TN007,RP008,HS011,ON011,Weekly,2023/11/01,2000.0,New
RA012,TN012,TN008-TN009,CP004,HS012,ON012,Monthly,2023/12/01,4500.0,Active
RA013,TN013,TN011,RP009,HS013,ON013,Monthly,2024/01/01,2300.0,New
RA014,TN014,TN001-TN002,RP010,HS014,ON014,Weekly,2024/02/01,1400.0,Completed
RA015,TN015,TN003,CP005,HS015,ON015,Monthly,2024/03/01,5500.0,Active
